education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major,country,depression_total_score,anxiety_total_score,stress_total_score
2,2,1,1,18,1,10,1,10,2,1,5,,MY,15,16,15
3,1,2,2,23,1,10,5,10,2,1,2,Counselor ,MY,30,32,36
1,3,3,1,13,1,1,5,60,2,1,3,,US,44,47,47
3,2,2,1,21,1,10,1,10,2,1,2,Engineering ,MY,32,26,34
1,2,2,1,17,1,6,1,60,2,1,2,,GB,45,40,45
2,3,2,1,13,2,10,1,10,2,1,4,,MY,34,42,43
3,2,2,0,23,1,10,1,10,2,1,3,Management,MY,41,36,42
2,2,2,1,25,1,9,1,60,1,1,3,,US,44,39,42
1,2,2,1,16,1,10,1,10,2,1,5,,SG,26,26,24
3,3,2,2,18,1,10,3,10,2,1,0,Medical,ID,45,52,52
3,2,1,2,28,1,2,1,60,2,1,3,communications,NL,19,26,24
3,3,2,1,21,2,10,2,10,2,1,0,,MY,43,32,35
4,2,2,2,20,1,10,4,10,2,1,3,marketing,ID,37,39,37
3,1,2,2,19,1,10,1,10,2,1,6,Psychology,MY,36,35,40
4,3,2,2,42,1,10,1,10,1,1,4,education,MY,42,42,40
2,2,2,1,21,1,6,1,60,1,1,3,,CA,31,32,35
3,2,1,1,30,1,4,1,10,2,1,4,Communication Design,MY,32,20,27
3,1,2,2,21,1,10,1,10,2,1,2,English,MY,52,46,51
3,3,1,2,20,1,10,5,10,2,1,6,Electronic engineering computer,MY,41,41,38
2,3,2,2,17,1,10,1,10,2,1,2,,MY,16,15,22
3,3,2,1,21,1,3,1,10,2,1,2,Business management,HK,44,46,43
3,2,2,2,24,1,10,1,10,2,1,4,Accounting,MY,22,17,22
2,2,3,1,16,1,12,4,50,2,1,6,,US,43,48,44
3,1,2,2,22,1,10,1,10,2,1,4,hotel management ,MY,34,29,34
3,3,2,2,26,1,4,1,10,2,1,3,Nursing,PH,20,25,20
4,1,2,2,23,1,10,1,10,1,1,6,Business,MY,37,38,43
4,2,1,2,26,1,4,1,10,2,1,1,,CA,41,40,43
3,3,2,2,19,1,7,5,70,2,1,3,Psychology,PH,14,15,14
2,3,2,2,22,1,4,5,70,2,1,4,,MY,46,40,45
4,3,2,2,27,1,10,1,70,1,1,7,Civil Engineering,MY,28,26,26
1,2,1,1,16,1,6,1,60,2,1,2,,US,21,17,25
3,1,2,2,24,1,10,1,10,1,1,2,science,MY,41,43,44
3,2,2,2,22,1,10,1,10,1,1,4,Animation,MY,29,31,34
1,1,2,1,15,1,12,2,70,2,1,2,,US,32,26,29
4,1,2,2,27,1,10,1,10,1,1,5,Instructional Multimedia ,MY,32,29,32
4,3,2,2,41,1,4,1,60,2,2,2,Psychology,HR,22,21,24
3,3,2,2,20,1,10,1,10,2,1,5,Food Science,MY,21,23,23
1,3,2,1,15,1,12,5,60,2,1,5,,US,48,40,49
3,3,1,1,24,1,2,3,60,2,1,4,Computer Science,US,55,53,56
3,3,2,1,25,1,4,2,70,2,1,4,Early Childhood Education,US,47,39,40
1,1,1,1,13,1,2,1,60,2,1,3,,US,35,34,40
4,2,2,1,48,1,12,1,60,1,2,3,Government / Politics,US,46,40,42
3,3,2,2,25,1,10,1,10,1,1,4,Economics,MY,32,25,28
4,2,1,1,40,1,2,1,70,1,1,3,Philosophy ,GB,16,14,17
2,3,2,2,15,1,10,1,10,2,1,3,,MY,15,14,16
2,3,2,1,17,1,12,1,10,2,1,2,,SG,35,29,30
4,3,2,2,25,0,10,1,10,1,3,0,Accountancy,PH,26,23,23
3,2,2,2,20,1,10,5,10,2,1,1,Mathematic education,ID,26,32,33
3,3,2,2,23,1,10,1,10,2,2,3,Accounting ,MY,29,32,31
3,2,1,2,22,1,10,1,10,2,1,6,Biotechnology,MY,46,37,40
3,1,1,1,28,2,12,1,70,1,1,2,Safety Management,US,25,22,23
3,2,2,2,20,1,10,1,10,2,1,4,Accounting ,MY,30,19,29
3,1,2,2,19,2,10,1,10,2,1,11,Mechanical Engineering ,MY,30,28,32
3,3,2,2,25,1,10,1,10,1,1,2,accounting ,ID,35,36,42
3,1,1,2,23,1,10,3,10,2,1,4,Law,MY,46,46,51
3,3,2,2,19,1,10,1,10,2,1,6,,MY,31,33,33
3,3,2,2,38,1,7,1,30,2,1,4,Administration,GH,44,40,47
3,2,2,2,18,2,10,1,10,0,1,3,Science,MY,44,50,49
1,1,2,1,33,1,6,1,60,2,1,1,,US,38,33,37
4,3,2,2,25,1,10,1,10,1,1,6,Marine,MY,30,23,29
3,3,2,1,14,2,10,1,10,2,1,0,english,MY,48,47,48
3,3,2,2,17,2,10,1,10,2,1,3,photography,MY,34,30,31
3,3,2,2,19,1,2,1,70,2,1,3,Computer engineering ,CL,43,38,45
1,2,2,1,16,1,7,2,60,2,1,2,,US,47,40,46
2,2,2,2,16,1,10,1,10,2,1,4,,MY,50,49,53
2,1,1,1,37,1,1,1,60,1,1,2,,CA,34,34,39
